"求人番号","求人内容","求人メモ","表示数","クリック率","クリック数","応募開始率","応募開始数","応募完了率","応募数","応募率","クリック単価","応募開始単価","応募単価","利用済予算","雇用形態"
"合計","",,"16,937","5.04%","853","2.58%","22","63.64%","14","1.64%","￥161","￥6,223","￥9,779","￥136,910",
"8003201","【正社員】体力不要な設備管理サポート　見習いスタッフ（定着率95%）/月収27万～★未経験歓迎！土日祝休みでプライベートも充実♪",,"2,371","8.98%","213","1.88%","4","75%","3","1.41%","￥68","￥3,601","￥4,802","￥14,405","正社員"
"8362286","【正社員】見習い空間コンサルタント（定着率95％）/3年で600万も目指せる◆未経験歓迎◆経歴学歴一切関係なし",,"1,879","5.11%","96","0%","0","0%","0","0%","￥157","￥0","￥0","￥15,067","正社員"
"8362316","【正社員】見習いコンストラクション・ディレクター（定着率95%）/学歴職歴一切不問◆初心者OK｜年収1000万も狙える！",,"1,320","3.48%","46","4.35%","2","50%","1","2.17%","￥304","￥6,991","￥13,982","￥13,982","正社員"
"8362433","【正社員】街の見習いプロデューサー(定着率95％)/20代活躍中★経験不問で年収100万アップも！月給27万円〜",,"1,615","7.55%","122","3.28%","4","25%","1","0.82%","￥104","￥3,162","￥12,647","￥12,647","正社員"
"8564881","【正社員】設備保守のサポートスタッフ（手厚い教育・フォロー体制あり）/初心者でも1年で年収100万円UPが続々と◎年休124日",,"1,109","4.42%","49","4.08%","2","100%","2","4.08%","￥124","￥3,026","￥3,026","￥6,052","正社員"
"9558551","【正社員】現場のリアルをSNSで発信する空調メンテナンスの担当メンバー/高収入実績が多数あり◎20代若手中心♪未経験から挑戦OK！",,"728","4.12%","30","3.33%","1","100%","1","3.33%","￥133","￥3,998","￥3,998","￥3,998","正社員"
"9558731","【正社員】教育体制が万全の体力的な不安なく働ける設備管理スタッフ/未経験も初年度で年収100万UPが多数！土日休/年休124日",,"1,168","3%","35","0%","0","0%","0","0%","￥289","￥0","￥0","￥10,131","正社員"
"9558782","【正社員】設備メンテナンスの補助メンバー（万全のフォロー体制）/未経験から1年で年収100万円UPが続出中！年休124日",,"1,253","1.6%","20","0%","0","0%","0","0%","￥566","￥0","￥0","￥11,320","正社員"
"9558811","【正社員】かんたん設備管理の軽作業アシスタント（安心の見習いスタート）/未経験も初年度から年収100万円UP★年間休日120日〜",,"1,361","4.19%","57","1.75%","1","100%","1","1.75%","￥131","￥7,441","￥7,441","￥7,441","正社員"
"9558954","【正社員】設備保守のサポート担当（安心の教育・フォロー体制完備）/初心者から1年で年収100万増が続々◎年間休日124日",,"1,084","4.34%","47","2.13%","1","100%","1","2.13%","￥190","￥8,952","￥8,952","￥8,952","正社員"
"9902078","【正社員】設備保守のサポートスタッフ（安心の教育＆フォロー体制完備）/初心者でも1年で年収100万円アップが続出◎年休124日",,"1,060","3.49%","37","2.7%","1","0%","0","0%","￥168","￥6,203","￥0","￥6,203","正社員"
"9903237","【正社員】設備メンテナンスのサポートスタッフ（安心の教育フォロー完備）/経験不問◎1年で年収100万円増が続出中■年休124日",,"1,027","4.48%","46","8.7%","4","50%","2","4.35%","￥375","￥4,314","￥8,628","￥17,256","正社員"
"9904042","【正社員】メンテナンス業務のサポートスタッフ（手厚い教育体制あり）/年休124日◎初心者から1年で年収100万円増が急増中",,"962","5.72%","55","3.64%","2","100%","2","3.64%","￥172","￥4,728","￥4,728","￥9,456","正社員"
